Name,Status,Price,Stars,Ratings,URL,UPC
SAPPHIRE Radeon NITRO+ RX 5700 XT 8GB GDDR6 GPU,Pre-Owned,$895.00,4.5,0,https://www.ebay.com/itm/373791352553?epid=19034681892&hash=item5707b366e9:g:PgQAAOSwSO1hkMts,
GRAPHICS CARD PixelView PV-N36A GEFORCE FX5700 AGP 256MB DDR,Refurbished,$83.00,0,0,https://www.ebay.com/itm/174980083339?_trkparms=ispr%3D1&hash=item28bda02e8b:g:vV8AAOSw9GdceUMt&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252BjlcMrNxfBAxl%252BFLhbUn9FcLRVEJfrLYCQpEBG2L%252BKztrrYB%252Fgy9sGKZ6hf9JEPilZecL2twReiYQRJ45eS0fWVM3tZ4TcfyPO%252BecjOBkLY%252BtjrnfU4pUI3HA91Ky8DlDPXIIp7ycAFci497Y1UNDtMEABCArZHAb8TO8jFlRymlKotKt18bEmH5OnxQkH246CcS1qO6wVzjQ8Z4Odn5Nroza2CRr7CfSXIJeYmDDCF3VADcAtr3sSp%252F6x7x1RBKJX4hNC5QR%252BamMnMTW311euCGs3sAjt69tihujEImJ5jwESQcHJr8PWhrWuvUZB%252BnuO7wXIGH0%252BTX%252FjE6gWaOTecH%252Fqk7sbg%252FthgPNWjlmUq24wkrIjzC8OHba4c9kLSWjkXgLbT%252BfOqrvUVSvUZheudjyQsEbG4PG6IO9%252BiIa5%252FFysUtj3VJs50dJA9kONw2NYNqLPMMUyEBRVl5hMq1ZNbDfM6fQlVor401XC4Pdw39taXiFzsK8spkLNRoo9ReG9FT3GiIAk4UeZErEpPG5Bqx%252FIj%252FPshqYXpsDA4OvG0G4qNdpKtnMWwLWP%252B1rxsftEsap5HiNEqfdC1v%252FpVKjfNOKfrDM4vOHeWpl3gfZ7Bl5HQxCjb8k2f8ButIYdPVGGX%252B0GbUoH7cKdP575NFu81h7J1%252BX7PPek%252FbgeWEv2a0AwnZm8p62pyg7WWOOEtehigU7bnvUI1%252FF02bWoW7JyBFG4M1qO0NxGIrn3E0gIFfU6qWZVTe9LU9ESI%252FBAuTIClS1xDpgKC%252FyytDUK7j%252F0oqxKVJmujmeVxq4wXmXxzq%252B%7Cclp%3A2334524%7Ctkp%3ABFBM1Lex2qRf,
AMD Radeon 5700 8GB GDDR6 Graphic Card,Pre-Owned,$700.00,Tim,0,https://www.ebay.com/itm/115094276448?hash=item1acc274960:g:WboAAOSw9-ZhkFZY,
XFX Thicc III Ultra AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card - RX57XT8TBD8,Pre-Owned,$850.00,4.5,0,https://www.ebay.com/itm/265405279309?epid=10035188556&hash=item3dcb632c4d:g:HBkAAOSwwFFhjXgl,
HP ATI FirePro V5700 512MB PCI-E Graphics Card 508280-001,Pre-Owned,,0,0,https://www.ebay.com/itm/283544466966?_trkparms=ispr%3D1&hash=item4204913616:g:me0AAOSwZ~hbCa3Y&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2D%252ByWdG5qFk%252Bf3H4J8gla93yaN7NrsEZCZ8XQXZq2%252BdbdO6X%252FnfZo%252FMvE0ORmjV5uoq3uAlis2fmAneJ%252FVUlV5W0YKszwyD9HhmXuKAmlUtNXXlIe18H0K3%252FyMJucfYUTgjHhI6Alo0wfAenGuiAm58UPKsReu2qX%252FCq1LJJ%252F2kxRtXw%252FqKwauXc2GwBuQrTL%252FWF6xz10gVi8N3Baw%252Fg0JhlAGXwR3Yt%252By%252FfeYm%252B66YELL1nQ%252Fy%252FQCczjKxLCh1o2KIANnQfnwEVTSJWRKtrZFcuZVVBcdveeoKbsSgZQuNN11SU4N0TOf62n%252FcRWuRsEXDjUgiiJZQItN6Q8H9PL45XEss10zJpa1XJtRKmtCUhAw8uRvdT27itjJT1HdCJOAAdZmDDqzsY3gojG56D9W7zfn9I5T0Rew67asP3VNc1FP%252FLJIgNnYBWiTfiH6l3p1QOfX%252FR1DbnOWMZ%252Bqfjm86s2yVTmVKtnUEp2OopgUPk8S4FvZ1J79P8Q0o6m1773deqz9tj%252F3YktaR64tXAj6xxeryA%252FeRPWu5Y3ZvWl1X5JrHy5OBV8%252FYXUbrB06JGWL8xA7CZcQqru3vylOy6xnS%252BvAa7jYmsb1o8RhKzZnvJtzbNpRnGjME02x3DBfN6qPH2t7rKGZCywtEUVXTya%252Fni8jzzFWV9E1T88hP5xqyXhf6oiL%252BsmmQ5Z7VDGvdCEp3YEl2N1S4r5eD4Aojmkd0PwQpbGCW7BVmyE1v6TelpFUEtx6qPiAKIIv4ZwxbQZf9P8VPG0AkMurbH3BWBfQiiFoBN%252Bz%252Fh8J7QeclyNThq%7Cclp%3A2334524%7Ctkp%3ABFBM1Lex2qRf,
NVIDIA 9600M GT MXM New Replace 8600m  6800 for Amilo 3438 1556 Alienware 5700,Brand New,$94.05,Pre,0,https://www.ebay.com/itm/255196432014?hash=item3b6ae4868e:g:~2IAAOSwxS9ckwfw,
NEW Windows 10 HP Compaq dc5700 Tower PCI HDMI DVI VGA Video Graphics Card,Brand New,$59.89,5.0,0,https://www.ebay.com/itm/324620849195?epid=110141642&hash=item4b94e9102b:g:VigAAOSw1odgnOM8,
ASUS RX5700XT-8G AMD RADEON RX5700 XT 8GB GDDR6 VRAM Graphics Card Used,Pre-Owned,"$1,099.99",5.0,0,https://www.ebay.com/itm/203504932387?epid=13034191903&hash=item2f61d6d623:g:OF8AAOSwEbhg4a2Z,
SAPPHIRE PULSE Radeon RX 5700 XT BE 8GB GDDR6 Graphics Card A202500025943,Pre-Owned,"$1,499.00",4.5,0,https://www.ebay.com/itm/324862721284?epid=28040742861&hash=item4ba353bd04:g:vRcAAOSweOlhgcDB,
Acer Veriton 5700G 5700GX 5800 5900Pro 6800 7700GX 7800 7900Pro 1GB Video Card,Refurbished,$23.38,Pre,0,https://www.ebay.com/itm/324491382426?hash=item4b8d318e9a:g:78wAAOSwWEZerSc1,
